Accessions,strain,date,date_released,date_updated,region,country,location,length,host,is_lab_host,sra_accessions,authors,full_authors,institution,submitter_country,sample_type,url,accession_base,country_clean,host_clean,year,sample_type_clean,analysis_note,exact_duplicate_of,keep_for_main_country_tree
MK673576,201200973,1/1/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18237,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673576,MK673576,Bangladesh,Human,2011,oronasopharynx,,,True
MK673577,201206008,2/2/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18219,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,blood,https://www.ncbi.nlm.nih.gov/nuccore/MK673577,MK673577,Bangladesh,Human,2011,blood,,,True
MK673578,201206119,3/8/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18235,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,blood,https://www.ncbi.nlm.nih.gov/nuccore/MK673578,MK673578,Bangladesh,Human,2011,blood,,,True
MK673579,201206312,1/20/2012,2021-04-19,2021-04-19,Asia,Bangladesh,,18223,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673579,MK673579,Bangladesh,Human,2012,oronasopharynx,,,True
MK673580,201206313,1/20/2012,2021-04-19,2021-04-19,Asia,Bangladesh,,18234,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673580,MK673580,Bangladesh,Human,2012,oronasopharynx,,,True
MK673581,201206316,1/21/2012,2021-04-19,2021-04-19,Asia,Bangladesh,,18235,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673581,MK673581,Bangladesh,Human,2012,oronasopharynx,,,True
MK673582,201206325,4/5/2012,2021-04-19,2021-04-19,Asia,Bangladesh,,18237,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673582,MK673582,Bangladesh,Human,2012,oronasopharynx,,,True
MK673583,201302591,1/22/2013,2021-04-19,2021-04-19,Asia,Bangladesh,,18197,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673583,MK673583,Bangladesh,Human,2013,oronasopharynx,,,True
MK673584,201601126,1/5/2015,2021-04-19,2021-04-19,Asia,Bangladesh,,18229,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673584,MK673584,Bangladesh,Human,2015,oronasopharynx,,,True
MK673585,201601136,3/18/2015,2021-04-19,2021-04-19,Asia,Bangladesh,,18245,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673585,MK673585,Bangladesh,Human,2015,oronasopharynx,,,True
MK673586,201601138,3/21/2015,2021-04-19,2021-04-19,Asia,Bangladesh,,18165,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673586,MK673586,Bangladesh,Human,2015,oronasopharynx,,,True
MK673587,201601144,1/19/2015,2021-04-19,2021-04-19,Asia,Bangladesh,,18170,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673587,MK673587,Bangladesh,Human,2015,oronasopharynx,,,True
MK673588,201601161,2/27/2015,2021-04-19,2021-04-19,Asia,Bangladesh,,18119,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673588,MK673588,Bangladesh,Human,2015,oronasopharynx,,,True
MK673589,201601187,2/6/2014,2021-04-19,2021-04-19,Asia,Bangladesh,,18215,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673589,MK673589,Bangladesh,Human,2014,oronasopharynx,,,True
MK673590,201601191,2/7/2014,2021-04-19,2021-04-19,Asia,Bangladesh,,18208,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673590,MK673590,Bangladesh,Human,2014,oronasopharynx,,,True
MK673591,201601231,2/4/2014,2021-04-19,2021-04-19,Asia,Bangladesh,,18157,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673591,MK673591,Bangladesh,Human,2014,oronasopharynx,,,True
MK673592,201601241,1/20/2014,2021-04-19,2021-04-19,Asia,Bangladesh,,18234,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673592,MK673592,Bangladesh,Human,2014,oronasopharynx,,,True
MK801755,CSUR381,2003-XX-XX,2019-07-10,2020-03-26,Asia,Cambodia,,18246,Pteropus lylei,False,,Gaudino et al.,"Gaudino,M.,Aurine,N.,Dumont,C.,Fouret,J.,Ferren,M.,Mathieu,C.,Reynard,O.,Volchkov,V.E.,Legras-Lachuer,C.,Georges-Courbot,M.C.,Horvat,B.,Legras-Laucher,C.,Reynes,J.-M.","INSERM U1111, CIRI (International Center for Infectiology Research)",France,,https://www.ncbi.nlm.nih.gov/nuccore/MK801755,MK801755,Cambodia,Bat,2003,Unknown,,,True
MN549402,MCL-19-BAT-574-8,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18132,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,"kidney, abdominal cavity",https://www.ncbi.nlm.nih.gov/nuccore/MN549402,MN549402,India,Bat,2019,"kidney, abdominal cavity",,,True
MN549403,MCL-19-BAT-574-4,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18131,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,brain,https://www.ncbi.nlm.nih.gov/nuccore/MN549403,MN549403,India,Bat,2019,brain,,,True
MN549404,MCL-19-BAT-574-6,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18130,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,heart,https://www.ncbi.nlm.nih.gov/nuccore/MN549404,MN549404,India,Bat,2019,heart,,,True
MN549405,MCL-19-BAT-572-10,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18125,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,"feces, abdominal cavity",https://www.ncbi.nlm.nih.gov/nuccore/MN549405,MN549405,India,Bat,2019,"feces, abdominal cavity",,,True
MN549406,MCL-19-BAT-572-9,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18132,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/MN549406,MN549406,India,Bat,2019,Unknown,,,True
MN549407,MCL-19-BAT-572-6,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",17813,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,heart,https://www.ncbi.nlm.nih.gov/nuccore/MN549407,MN549407,India,Bat,2019,heart,,,True
MN549408,MCL-19-BAT-574-5,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18131,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,lung,https://www.ncbi.nlm.nih.gov/nuccore/MN549408,MN549408,India,Bat,2019,lung,,,True
MN549409,MCL-19-BAT-572-7,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18172,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/MN549409,MN549409,India,Bat,2019,Unknown,,,True
MN549410,MCL-19-BAT-574-7,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",17815,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/MN549410,MN549410,India,Bat,2019,Unknown,,,True
MN549411,MCL-19-BAT-572-5,6/10/2019,2020-11-01,2020-11-01,Asia,India,"Idukki District, Kerala State",18124,Pteropus medius,False,,Yadav et al.,"Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,lung,https://www.ncbi.nlm.nih.gov/nuccore/MN549411,MN549411,India,Bat,2019,lung,,,True
MW535746,NiV/TH/P.lylei/2017/B17640.GUL,5/21/2017,2021-11-13,2021-11-13,Asia,Thailand,,18236,Pteropus lylei,False,,Wacharapluesadee et al.,"Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damron","Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital",Thailand,urine,https://www.ncbi.nlm.nih.gov/nuccore/MW535746,MW535746,Thailand,Bat,2017,urine,,,True
NC_002728,,XXXX-XX-XX,2000-06-01,2018-08-13,,,,18246,,False,,Lo et al.,"Lo,M.K.,Harcourt,B.H.,Mungall,B.A.,Tamin,A.,Peeples,M.E.,Bellini,W.J.,Rota,P.A.,Halpin,K.,Ksiazek,T.G.,Rollin,P.E.,Chua,K.B.,Lam,S.K.,Zaki,S.R.,Shieh,W.,Goldsmith,C.S.,Gubler,D.J.,Roehrig,J.T.,Eaton,B.,Gould,A.R.,Olson,J.,Field,H.,Daniels,P.,Ling,A.E.,Pet","National Center for Biotechnology Information, NIH",USA,,https://www.ncbi.nlm.nih.gov/nuccore/NC_002728,NC_002728,Unknown,Unknown,,Unknown,,,True
OK572974,IRF0160_NIV-MALAYSIA,XXXX-XX-XX,2022-07-30,2022-07-30,,Missing,,18769,,False,SRR17262087,Bennett et al.,"Bennett,R.,Hensley,L.,Tallon,L.,Sadzewicz,L.,Vavikolanu,K.,Mehta,A.,Aluvathingal,J.,Nadendla,S.,Yan,Y.,Sichtig,H.","US Food and Drug Administration, Center for Devices and Radiological Health",USA,,https://www.ncbi.nlm.nih.gov/nuccore/OK572974,OK572974,Unknown,Unknown,,Unknown,,,True
OK573014,199902916/Malaysia,XXXX-XX-XX,2022-07-30,2022-07-30,North America,USA,,18142,,False,SRR10027400,Tallon et al.,"Tallon,L.,Sadzewicz,L.,Vavikolanu,K.,Mehta,A.,Aluvathingal,J.,Nadendla,S.,Myers,T.,Yan,Y.,Sichtig,H.","US Food and Drug Administration, Center for Devices and Radiological Health",USA,,https://www.ncbi.nlm.nih.gov/nuccore/OK573014,OK573014,USA,Unknown,,Unknown,,,True
OM135495,MCL-21-H-9808,9/2/2021,2022-11-21,2022-11-21,Asia,India,,18005,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.,Sahay,R.R.,Balakrishnan,A.,Mohandas,S.,Radhakrishnan,C.,Gokhale,M.D.,Balasubramanian,R.,Abraham,P.,Gupta,N.,Sugunan,A.P.,Khobragade,R.,George,K.,Shete,A.,Patil,S.,Thankappan,U.P.,Dighe,H.,Koshy,J.,Vijay,V.,Gayathri,R.,Kumar,P.J.,Rahim,A.,Naveen","National Institute of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/OM135495,OM135495,India,Human,2021,Unknown,,,True
OR130496,MCL-19-H-1134,2019-06-XX,2023-07-26,2023-07-26,Asia,India,,18124,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institue of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/OR130496,OR130496,India,Human,2019,Unknown,,,True
OR820506,MCL-23-H-3874_RNA_11865,8/29/2023,2024-05-25,2024-05-25,Asia,India,Kozhikode (Kerala),18221,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/OR820506,OR820506,India,Human,2023,oronasopharynx,,,True
OR820507,MCL-23-H-3764_RNA_11861,9/9/2023,2024-05-25,2024-05-25,Asia,India,Kozhikode (Kerala),18150,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/OR820507,OR820507,India,Human,2023,oronasopharynx,,,True
OR820508,MCL-23-H-3762_RNA_11863,9/11/2023,2024-05-25,2024-05-25,Asia,India,Kozhikode (Kerala),18190,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/OR820508,OR820508,India,Human,2023,oronasopharynx,,,True
PP554503,MCl-23-BAT-438/5_RNA_11998,9/27/2023,2024-11-27,2024-11-27,Asia,India,Waynad,18181,Pteropus medius,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,,https://www.ncbi.nlm.nih.gov/nuccore/PP554503,PP554503,India,Bat,2023,Unknown,,,True
PP554504,MCL-23-Bat-247/5_RNA_11996,2023-05-XX,2024-11-27,2024-11-27,Asia,India,Patana,18164,Pteropus medius,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,"spleen, abdominal cavity",https://www.ncbi.nlm.nih.gov/nuccore/PP554504,PP554504,India,Bat,2023,"spleen, abdominal cavity",,,True
PP893186,C-18-B-0302,2018-06-XX,2024-06-15,2024-06-15,Asia,Sri Lanka,,18017,Pteropus medius,False,,Kohl et al.,"Kohl,C.,Siriwardana,S.,Muzeniek,T.,Perera,T.,Bas,D.,Oeruc,M.,Brinkmann,A.,Becker-Ziaja,B.,Schwarz,F.,Jeevatharan,H.,Weerasena,J.,Handunnetti,S.,Perera,I.C.,Premawansa,G.,Premawansa,S.,Yapa,W.,Nitsche,A.","Robert Koch-Institute, Centre for Biological Threats and Special Pathogens",Germany,urine,https://www.ncbi.nlm.nih.gov/nuccore/PP893186,PP893186,Sri Lanka,Bat,2018,urine,,,True
PP893188,C-19-B-1808,2019-03-XX,2024-06-15,2024-06-15,Asia,Sri Lanka,,17952,Pteropus medius,False,,Kohl et al.,"Kohl,C.,Siriwardana,S.,Muzeniek,T.,Perera,T.,Bas,D.,Oeruc,M.,Brinkmann,A.,Becker-Ziaja,B.,Schwarz,F.,Jeevatharan,H.,Weerasena,J.,Handunnetti,S.,Perera,I.C.,Premawansa,G.,Premawansa,S.,Yapa,W.,Nitsche,A.","Robert Koch-Institute, Centre for Biological Threats and Special Pathogens",Germany,urine,https://www.ncbi.nlm.nih.gov/nuccore/PP893188,PP893188,Sri Lanka,Bat,2019,urine,,,True
PP981664,NiV/human/BGD/RS0276817/2017,2/16/2017,2024-07-12,2024-07-12,Asia,Bangladesh,Pabna,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981664,PP981664,Bangladesh,Human,2017,oronasopharynx,,,True
PP981665,NiV/human/BGD/FP0136517/2017,2/22/2017,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981665,PP981665,Bangladesh,Human,2017,oronasopharynx,,,True
PP981666,NiV/human/BGD/SQ00118/2018,2/8/2018,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981666,PP981666,Bangladesh,Human,2018,oronasopharynx,,,True
PP981667,NiV/human/BGD/RS0384019/2019,2/20/2019,2024-07-12,2024-07-12,Asia,Bangladesh,,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981667,PP981667,Bangladesh,Human,2019,oronasopharynx,,,True
PP981668,NiV/human/BGD/CMH/2020,1/4/2020,2024-07-12,2024-07-12,Asia,Bangladesh,,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,lung,https://www.ncbi.nlm.nih.gov/nuccore/PP981668,PP981668,Bangladesh,Human,2020,lung,,,True
PP981669,NiV/human/BGD/FP0218120/2020,1/5/2020,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981669,PP981669,Bangladesh,Human,2020,oronasopharynx,,,True
PP981670,NiV/human/BGD/ID-01/2020,1/20/2020,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981670,PP981670,Bangladesh,Human,2020,oronasopharynx,,,True
PP981671,NiV/human/BGD/ID-02/2020,1/20/2020,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981671,PP981671,Bangladesh,Human,2020,oronasopharynx,,,True
PP981672,NiV/human/BGD/FP0219620/2020,1/25/2020,2024-07-12,2024-07-12,Asia,Bangladesh,Faridpur,18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981672,PP981672,Bangladesh,Human,2020,oronasopharynx,,,True
PP981673,NiV/human/BGD/RS0559122/2022,3/14/2022,2024-07-12,2024-07-12,Asia,Bangladesh,Naogaon (Rajshahi),18077,Homo sapiens,False,,Rahman et al.,"Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.","icddr, b, One Health Laboratory",Bangladesh,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/PP981673,PP981673,Bangladesh,Human,2022,oronasopharynx,,,True
